일자,지수명,종가,대비,등락률,PER,PBR,배당수익률
20250331,코스피,2481.12,-76.86,-3.0,13.01,0.87,2.01
20250331,코스피 200,332.4,-10.56,-3.08,11.96,0.86,2.17
20250331,코스피 100,2504.53,-82.67,-3.2,11.9,0.88,2.15
20250331,코스피 50,2304.72,-79.95,-3.35,11.25,0.88,2.21
20250331,코스피 200 중소형주,1299.99,-22.45,-1.7,12.71,0.66,2.34
20250331,코스피 200 초대형제외 지수,254.76,-7.28,-2.78,11.9,0.84,2.05
20250331,코스피200제외 코스피지수,3120.93,-68.8,-2.16,11.45,0.58,2.34
20250331,코스피 200 커뮤니케이션서비스,1804.77,-54.45,-2.93,22.86,1.18,2.01
20250331,코스피 200 건설,292.79,-1.04,-0.35,9.36,0.53,1.09
20250331,코스피 200 중공업,599.35,-6.52,-1.08,45.96,2.4,0.38
20250331,코스피 200 철강/소재,905.91,-25.41,-2.73,30.03,0.37,2.72
20250331,코스피 200 에너지/화학,918.03,-44.92,-4.66,0.0,0.51,2.21
20250331,코스피 200 정보기술,2644.38,-113.85,-4.13,14.07,0.91,1.33
20250331,코스피 200 금융,842.39,-10.53,-1.23,6.13,0.52,4.19
20250331,코스피 200 생활소비재,877.45,-16.0,-1.79,11.03,0.71,1.83
20250331,코스피 200 경기소비재,1549.7,-44.76,-2.81,6.01,0.61,3.54
20250331,코스피 200 산업재,707.01,-17.14,-2.37,19.87,1.75,1.16
20250331,코스피 200 헬스케어,1921.37,-70.74,-3.55,51.72,2.81,0.26
20250331,음식료·담배,3859.32,-37.32,-0.96,11.67,0.99,2.57
20250331,섬유·의류,215.34,-2.25,-1.03,7.48,0.58,2.64
20250331,종이·목재,249.77,-5.07,-1.99,0.0,0.35,2.89
20250331,화학,3260.4,-142.75,-4.19,81.51,0.6,1.61
20250331,제약,14943.6,-556.07,-3.59,73.73,2.97,0.22
20250331,비금속,3623.25,-88.37,-2.38,7.27,0.41,4.74
20250331,금속,4842.05,-98.78,-2.0,20.19,0.54,2.51
20250331,기계·장비,1284.37,-51.87,-3.88,37.88,1.65,1.39
20250331,전기전자,22755.83,-1034.46,-4.35,16.0,1.2,1.53
20250331,의료·정밀기기,1272.69,-51.66,-3.9,56.08,0.67,0.49
20250331,운송장비·부품,3085.61,-52.47,-1.67,8.72,0.93,2.37
20250331,유통,335.43,-8.57,-2.49,13.42,0.57,2.64
20250331,전기·가스,728.56,-10.53,-1.42,4.1,0.34,0.33
20250331,건설,69.67,-0.43,-0.61,14.28,0.44,2.01
20250331,운송·창고,1622.55,-24.54,-1.49,6.4,0.73,2.5
20250331,통신,454.7,-2.16,-0.47,10.5,0.76,5.24
20250331,금융,462.81,-7.3,-1.55,7.21,0.53,3.57
20250331,증권,2195.89,-57.79,-2.56,8.28,0.47,3.41
20250331,보험,19379.02,-215.98,-1.1,5.31,0.54,4.47
20250331,일반서비스,1061.22,-24.45,-2.25,18.1,1.74,1.83
20250331,제조,6352.51,-233.37,-3.54,16.36,1.05,1.63
20250331,코스피 대형주,2479.81,-80.61,-3.15,13.0,0.97,1.92
20250331,코스피 중형주,2720.11,-64.97,-2.33,13.72,0.59,2.33
20250331,코스피 소형주,2073.1,-45.75,-2.16,11.61,0.44,2.67
20250331,코스피 200 비중상한 30%,332.24,-10.56,-3.08,11.96,0.86,2.17
20250331,코스피 200 비중상한 25%,332.55,-10.56,-3.08,11.96,0.86,2.17
20250331,코스피 200 비중상한 20%,326.03,-10.15,-3.02,11.95,0.85,2.14
20250331,오락·문화,1070.56,-20.31,-1.86,268.16,1.39,1.69
20250331,IT 서비스,990.75,-37.36,-3.63,27.63,1.36,0.81
20250331,부동산,921.75,-12.88,-1.38,0.0,0.3,6.96
20250331,코스피 200 TOP 10,1198.79,-44.4,-3.57,10.87,0.88,2.25
20250328,코스피,2557.98,-49.17,-1.89,13.41,0.89,1.95
20250328,코스피 200,342.96,-7.3,-2.08,12.34,0.89,2.1
20250328,코스피 100,2587.2,-57.13,-2.16,12.29,0.91,2.09
20250328,코스피 50,2384.67,-55.03,-2.26,11.64,0.91,2.13
20250328,코스피 200 중소형주,1322.44,-15.96,-1.19,12.94,0.68,2.29
20250328,코스피 200 초대형제외 지수,262.04,-5.12,-1.92,12.24,0.87,2.0
20250328,코스피200제외 코스피지수,3189.73,-40.52,-1.25,11.71,0.59,2.29
20250328,코스피 200 커뮤니케이션서비스,1859.22,-0.64,-0.03,23.55,1.22,1.95
20250328,코스피 200 건설,293.83,-2.83,-0.95,9.39,0.53,1.09
20250328,코스피 200 중공업,605.87,-2.37,-0.39,46.5,2.43,0.38
20250328,코스피 200 철강/소재,931.32,-38.23,-3.94,30.87,0.38,2.65
20250328,코스피 200 에너지/화학,962.95,-17.2,-1.75,0.0,0.53,2.1
20250328,코스피 200 정보기술,2758.23,-71.83,-2.54,14.68,0.95,1.27
20250328,코스피 200 금융,852.92,-8.95,-1.04,6.21,0.53,4.14
20250328,코스피 200 생활소비재,893.45,-0.92,-0.1,11.24,0.72,1.8
20250328,코스피 200 경기소비재,1594.46,-45.15,-2.75,6.18,0.63,3.44
20250328,코스피 200 산업재,724.15,-21.68,-2.91,20.35,1.8,1.14
20250328,코스피 200 헬스케어,1992.11,-38.24,-1.88,53.62,2.91,0.25
20250328,음식료·담배,3896.64,6.11,0.16,11.79,0.99,2.55
20250328,섬유·의류,217.59,-3.76,-1.7,7.55,0.58,2.62
20250328,종이·목재,254.84,-2.03,-0.79,0.0,0.36,2.83
20250328,화학,3403.15,-61.44,-1.77,85.1,0.63,1.54
20250328,제약,15499.67,-260.68,-1.65,76.48,3.08,0.21
20250328,비금속,3711.62,-14.17,-0.38,7.44,0.42,4.62
20250328,금속,4940.83,-216.95,-4.21,20.6,0.55,2.46
20250328,기계·장비,1336.24,-26.22,-1.92,39.41,1.72,1.33
20250328,전기전자,23790.29,-605.93,-2.48,16.73,1.26,1.46
20250328,의료·정밀기기,1324.35,-21.23,-1.58,58.35,0.69,0.47
20250328,운송장비·부품,3138.08,-78.1,-2.43,8.87,0.95,2.33
20250328,유통,344.0,-6.19,-1.77,13.76,0.59,2.57
20250328,전기·가스,739.09,-7.4,-0.99,4.16,0.35,0.32
20250328,건설,70.1,-0.88,-1.24,14.33,0.44,2.01
20250328,운송·창고,1647.09,-41.13,-2.44,6.5,0.74,2.47
20250328,통신,456.86,-2.43,-0.53,10.55,0.77,5.21
20250328,금융,470.11,-5.11,-1.08,7.32,0.54,3.51
20250328,증권,2253.68,-57.57,-2.49,8.49,0.48,3.32
20250328,보험,19595.0,-107.06,-0.54,5.37,0.55,4.42
20250328,일반서비스,1085.67,-5.67,-0.52,18.52,1.78,1.79
20250328,제조,6585.88,-154.6,-2.29,16.96,1.09,1.57
20250328,코스피 대형주,2560.42,-51.43,-1.97,13.43,1.01,1.86
20250328,코스피 중형주,2785.08,-42.02,-1.49,14.06,0.6,2.27
20250328,코스피 소형주,2118.85,-30.2,-1.41,11.87,0.45,2.61
20250328,코스피 200 비중상한 30%,342.8,-7.3,-2.09,12.34,0.89,2.1
20250328,코스피 200 비중상한 25%,343.11,-7.31,-2.09,12.34,0.88,2.1
20250328,코스피 200 비중상한 20%,336.18,-7.04,-2.05,12.32,0.88,2.08
20250328,오락·문화,1090.87,-12.97,-1.17,273.27,1.42,1.65
20250328,IT 서비스,1028.11,-3.65,-0.35,28.67,1.41,0.78
20250328,부동산,934.63,-2.17,-0.23,0.0,0.31,6.84
20250328,코스피 200 TOP 10,1243.19,-28.79,-2.26,11.28,0.92,2.17
20250327,코스피,2607.15,-36.79,-1.39,13.67,0.91,1.91
20250327,코스피 200,350.26,-4.74,-1.34,12.6,0.9,2.06
20250327,코스피 100,2644.33,-35.4,-1.32,12.56,0.93,2.04
20250327,코스피 50,2439.7,-30.66,-1.24,11.91,0.93,2.08
20250327,코스피 200 중소형주,1338.4,-20.33,-1.5,13.08,0.68,2.27
20250327,코스피 200 초대형제외 지수,267.16,-5.4,-1.98,12.48,0.88,1.96
20250327,코스피200제외 코스피지수,3230.25,-36.51,-1.12,11.87,0.6,2.26
20250327,코스피 200 커뮤니케이션서비스,1859.86,-21.68,-1.15,23.56,1.22,1.95
20250327,코스피 200 건설,296.66,-1.14,-0.38,9.49,0.54,1.08
20250327,코스피 200 중공업,608.24,-22.6,-3.58,46.63,2.43,0.38
20250327,코스피 200 철강/소재,969.55,-29.15,-2.92,32.14,0.4,2.54
20250327,코스피 200 에너지/화학,980.15,-14.92,-1.5,0.0,0.54,2.07
20250327,코스피 200 정보기술,2830.06,-56.26,-1.95,15.06,0.98,1.24
20250327,코스피 200 금융,861.87,-7.06,-0.81,6.27,0.53,4.1
20250327,코스피 200 생활소비재,894.37,-4.37,-0.49,11.25,0.72,1.79
20250327,코스피 200 경기소비재,1639.61,-37.29,-2.22,6.36,0.65,3.35
20250327,코스피 200 산업재,745.83,-13.17,-1.74,20.96,1.85,1.1
20250327,코스피 200 헬스케어,2030.35,-38.8,-1.88,54.65,2.97,0.24
20250327,음식료·담배,3890.53,1.5,0.04,11.78,0.99,2.55
20250327,섬유·의류,221.35,0.87,0.39,7.68,0.59,2.57
20250327,종이·목재,256.87,-0.62,-0.24,0.0,0.36,2.81
20250327,화학,3464.59,-49.97,-1.42,86.65,0.64,1.52
20250327,제약,15760.35,-261.82,-1.63,77.76,3.13,0.21
20250327,비금속,3725.79,-11.02,-0.29,7.47,0.42,4.61
20250327,금속,5157.78,-107.82,-2.05,21.5,0.57,2.35
20250327,기계·장비,1362.46,-38.1,-2.72,40.18,1.76,1.31
20250327,전기전자,24396.22,-267.41,-1.08,17.16,1.29,1.43
20250327,의료·정밀기기,1345.58,-18.74,-1.37,59.29,0.7,0.46
20250327,운송장비·부품,3216.18,-98.97,-2.99,9.09,0.97,2.28
20250327,유통,350.19,-1.43,-0.41,14.01,0.6,2.52
20250327,전기·가스,746.49,-9.4,-1.24,4.2,0.35,0.32
20250327,건설,70.98,0.25,0.35,14.46,0.44,1.99
20250327,운송·창고,1688.22,-35.86,-2.08,6.66,0.76,2.41
20250327,통신,459.29,-0.43,-0.09,10.61,0.77,5.18
20250327,금융,475.22,-4.72,-0.98,7.4,0.55,3.47
20250327,증권,2311.25,-30.18,-1.29,8.71,0.49,3.24
20250327,보험,19702.06,-138.47,-0.7,5.4,0.55,4.39
20250327,일반서비스,1091.34,-19.5,-1.76,18.61,1.79,1.78
20250327,제조,6740.48,-106.26,-1.55,17.36,1.11,1.54
20250327,코스피 대형주,2611.85,-38.47,-1.45,13.7,1.03,1.82
20250327,코스피 중형주,2827.1,-36.25,-1.27,14.27,0.61,2.24
20250327,코스피 소형주,2149.05,-11.38,-0.53,12.05,0.45,2.57
20250327,코스피 200 비중상한 30%,350.1,-4.74,-1.34,12.6,0.9,2.06
20250327,코스피 200 비중상한 25%,350.42,-4.75,-1.34,12.6,0.9,2.06
20250327,코스피 200 비중상한 20%,343.22,-5.11,-1.47,12.58,0.9,2.04
20250327,오락·문화,1103.84,5.94,0.54,276.53,1.43,1.63
20250327,IT 서비스,1031.76,-18.55,-1.77,28.78,1.42,0.77
20250327,부동산,936.8,-5.58,-0.59,0.0,0.32,6.61
20250327,코스피 200 TOP 10,1271.98,-28.65,-2.2,11.54,0.94,2.12
20250326,코스피,2643.94,28.13,1.08,13.87,0.92,1.88
20250326,코스피 200,355.0,3.91,1.11,12.77,0.92,2.03
20250326,코스피 100,2679.73,31.45,1.19,12.73,0.94,2.01
20250326,코스피 50,2470.36,33.01,1.35,12.05,0.94,2.06
20250326,코스피 200 중소형주,1358.73,3.24,0.24,13.29,0.69,2.23
20250326,코스피 200 초대형제외 지수,272.56,1.66,0.61,12.73,0.9,1.92
20250326,코스피200제외 코스피지수,3266.76,0.18,0.01,12.02,0.61,2.23
20250326,코스피 200 커뮤니케이션서비스,1881.54,0.09,0.0,23.83,1.23,1.93
20250326,코스피 200 건설,297.8,0.42,0.14,9.52,0.54,1.07
20250326,코스피 200 중공업,630.84,-1.86,-0.29,48.45,2.53,0.36
20250326,코스피 200 철강/소재,998.7,13.32,1.35,33.1,0.41,2.47
20250326,코스피 200 에너지/화학,995.07,18.01,1.84,0.0,0.55,2.04
20250326,코스피 200 정보기술,2886.32,57.7,2.04,15.36,1.0,1.22
20250326,코스피 200 금융,868.93,-5.52,-0.63,6.33,0.54,4.07
20250326,코스피 200 생활소비재,898.74,-3.98,-0.44,11.3,0.73,1.79
20250326,코스피 200 경기소비재,1676.9,10.41,0.62,6.5,0.66,3.27
20250326,코스피 200 산업재,759.0,11.51,1.54,21.33,1.88,1.08
20250326,코스피 200 헬스케어,2069.15,-25.78,-1.23,55.69,3.03,0.24
20250326,음식료·담배,3889.03,-41.56,-1.06,11.77,0.99,2.55
20250326,섬유·의류,220.48,-1.03,-0.46,7.65,0.59,2.58
20250326,종이·목재,257.49,0.58,0.23,0.0,0.36,2.8
20250326,화학,3514.56,49.71,1.43,87.9,0.65,1.49
20250326,제약,16022.17,-71.12,-0.44,79.06,3.18,0.21
