기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,거래비율
20250321,42000,카페24,KOSDAQ,기술성장기업부,53600,-400,-0.74,53600,54700,51800,289284,154.2,13000,24253054,0.011861538
20250321,5070,코스모신소재,KOSPI,,48050,-1200,-2.44,49250,49350,47750,380422,184.1,15621,32510756,0.011785417
20250321,212710,아이에스티이,KOSDAQ,기술성장기업부,12830,160,1.26,13000,13730,12650,1181230,156.3,1167,9099478,0.133933162
20250321,204840,지엘팜텍,KOSDAQ,기술성장기업부,972,12,1.25,957,973,944,92714,0.9,748,76965206,0.001203209
20250321,24720,콜마홀딩스,KOSPI,,9210,-290,-3.05,9500,9570,9120,394497,37.2,3159,34296259,0.011775878
20250321,137400,피엔티,KOSDAQ GLOBAL,우량기업부,45800,1450,3.27,44750,46150,43750,278961,126.3,10874,23743086,0.011614861
20250321,34230,파라다이스,KOSPI,,10790,240,2.27,10680,11080,10650,1058520,114.8,9902,91771623,0.011593617
20250321,303360,프로티아,KOSDAQ,기술성장기업부,3300,40,1.23,3235,3320,3200,22541,0.7,425,12877215,0.001647059
20250321,4170,신세계,KOSPI,,146700,-1400,-0.95,148500,150600,146700,113197,166.5,14443,9845181,0.011528076
20250321,141080,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,100500,1700,1.72,99000,102400,98300,419409,421.8,36793,36610338,0.011464137
20250321,111710,남화산업,KOSDAQ,중견기업부,4980,60,1.22,4880,5000,4880,994,0,1025,20588000,0
20250321,10170,대한광통신,KOSDAQ,중견기업부,498,6,1.22,531,584,497,12474739,67.4,545,109511166,0.123669725
20250321,475150,SK이터닉스,KOSPI,,13950,-610,-4.19,14560,14650,13950,380872,53.7,4709,33754042,0.011403695
