기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,f
20250422,134790,시디즈,KOSPI,,32300,500,1.57,32400,32600,31500,17314,5.6,646,2000000,676,95.6,
20250422,10660,화천기계,KOSPI,,4265,-195,-4.37,4460,4495,4100,783650,33.7,938,22000000,981,95.6,
20250422,119850,지엔씨에너지,KOSDAQ,우량기업부,21600,2350,12.21,19060,22350,19050,1596576,340.7,3553,16448909,3553,100,10%
20250422,27360,아주IB투자,KOSDAQ,우량기업부,2550,35,1.39,2465,2745,2440,11008263,288.5,3084,120945406,4251,72.5,9%
20250422,66130,하츠,KOSDAQ,우량기업부,5690,70,1.25,5690,5700,5600,92865,5.2,728,12800000,764,95.3,
20250422,104040,대성파인텍,KOSDAQ,벤처기업부,958,133,16.12,826,970,817,969635,9.3,452,47224987,475,95.2,
20250422,30190,NICE평가정보,KOSPI,,12700,600,4.96,12180,12710,11930,166786,20.9,7557,59506593,7950,95.1,0%
20250422,25860,남해화학,KOSPI,,6920,70,1.02,6860,6920,6760,233754,16,3438,49678843,3617,95.1,0%
20250422,95660,네오위즈,KOSDAQ,우량기업부,22950,50,0.22,23100,23150,22850,52636,12.1,5016,21856816,5277,95.1,0%
20250422,23590,다우기술,KOSPI,,21200,300,1.44,20800,21400,20650,55836,11.8,9512,44866617,10005,95.1,0%
20250422,6040,동원산업,KOSPI,,43250,550,1.29,42550,44350,42200,59741,26,17137,39624084,18012,95.1,0%
20250422,476080,M83,KOSDAQ,중견기업부,15460,20,0.13,15250,16740,15160,695108,111.1,1204,7785000,2188,55,9%
20250422,35810,이지홀딩스,KOSDAQ,우량기업부,3230,65,2.05,3130,3255,3130,242847,7.8,2084,64516185,2192,95.1,0%
20250422,94940,푸른기술,KOSDAQ,벤처기업부,7690,-40,-0.52,7610,7780,7610,54926,4.2,643,8361386,676,95.1,
20250422,338100,NH프라임리츠,KOSPI,,4545,-5,-0.11,4545,4550,4515,13787,0.6,848,18660000,893,95,
20250422,79940,가비아,KOSDAQ,우량기업부,21100,-200,-0.94,21000,21500,20850,43963,9.3,2856,13535684,3005,95,0%
20250422,44990,에이치엔에스하이텍,KOSDAQ,기술성장기업부,17210,-280,-1.6,17470,17520,17210,20278,3.5,1383,8036064,1456,95,0%
20250422,357120,코람코라이프인프라리츠,KOSPI,,4450,-5,-0.11,4415,4450,4400,75361,3.3,4331,97335354,4560,95,0%
20250422,48430,유라테크,KOSDAQ,우량기업부,13030,-780,-5.65,14060,14840,12700,968588,134,1501,11520000,1981,75.8,9%
20250422,3570,SNT다이내믹스,KOSPI,,34650,600,1.76,33750,35500,33750,118037,41.1,11522,33252697,12137,94.9,0%
20250422,93190,빅솔론,KOSDAQ,우량기업부,5190,-120,-2.26,5310,5390,5190,20756,1.1,998,19238905,1052,94.9,
20250422,335870,윙스풋,KOSDAQ,중견기업부,2330,180,8.37,2160,2380,2150,83167,1.9,389,16681422,410,94.9,
20250422,92230,KPX홀딩스,KOSPI,,58000,500,0.87,57400,58400,57200,4607,2.7,2450,4224646,2585,94.8,0%
20250422,4690,삼천리,KOSPI,,90400,1100,1.23,89000,90700,89000,9608,8.7,3666,4055025,3868,94.8,0%
20250422,49480,오픈베이스,KOSDAQ,우량기업부,2570,-45,-1.72,2615,2615,2565,185736,4.8,808,31422383,852,94.8,
20250422,18120,진로발효,KOSDAQ,우량기업부,17380,-20,-0.11,17480,17480,17220,767,0.1,1151,6621120,1214,94.8,0%
20250422,23790,동일스틸럭스,KOSDAQ,중견기업부,1013,-5,-0.49,1018,1022,1006,30354,0.3,215,21177909,227,94.7,
20250422,23530,롯데쇼핑,KOSPI,,67500,-600,-0.88,68500,68600,66800,54204,36.7,19095,28288755,20170,94.7,0%
20250422,59100,아이컴포넌트,KOSDAQ,벤처기업부,5270,-40,-0.75,5310,5470,5250,41846,2.2,373,7070860,394,94.7,
20250422,9770,삼정펄프,KOSPI,,26100,0,0,25850,26200,25850,3324,0.9,652,2499971,689,94.6,
20250422,453340,현대그린푸드,KOSPI,,15370,-240,-1.54,15500,15620,15340,15681,2.4,5093,33135540,5384,94.6,0%
20250422,69960,현대백화점,KOSPI,,57700,0,0,58000,58000,57000,28767,16.6,13057,22628813,13804,94.6,0%
20250422,79900,전진건설로봇,KOSPI,,48800,4300,9.66,44100,51600,43800,1291510,624.1,7121,14592545,9471,75.2,9%
20250422,303360,프로티아,KOSDAQ,기술성장기업부,3320,45,1.37,3250,3320,3125,18041,0.6,428,12877215,453,94.5,
