기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250508,018680,서울제약,KOSDAQ,벤처기업부,3365,-25,-0.74,3390,3440,3365,10606,0.4,392.0,11659319,399.0,98.2
20250508,036120,서울평가정보,KOSDAQ,중견기업부,2285,20,0.88,2250,2305,2250,120225,2.7,811.0,35500000,861.0,94.2
20250508,021050,서원,KOSPI,,1229,-15,-1.21,1250,1250,1229,145228,1.8,583.0,47474590,635.0,91.8
20250508,093920,서원인텍,KOSDAQ,우량기업부,5360,-10,-0.19,5380,5380,5320,7863,0.4,997.0,18600000,999.0,99.8
20250508,189860,서전기전,KOSDAQ,투자주의환기종목(소속부없음),4290,70,1.66,4220,4310,4175,24468,1.0,416.0,9698780,429.0,97.0
20250508,178320,서진시스템,KOSDAQ,벤처기업부,21700,300,1.4,21550,21850,21500,142867,31.0,12206.0,56247954,12881.0,94.8
20250508,122690,서진오토모티브,KOSDAQ,우량기업부,1937,0,0.0,1935,1949,1931,4949,0.1,423.0,21844410,424.0,99.8
20250508,140070,서플러스글로벌,KOSDAQ,우량기업부,2560,65,2.61,2500,2560,2500,24822,0.6,947.0,36988000,965.0,98.1
20250508,011370,서한,KOSDAQ,우량기업부,843,-6,-0.71,849,856,840,80343,0.7,851.0,100894865,883.0,96.4
20250508,065710,서호전기,KOSDAQ,중견기업부,23650,-100,-0.42,23750,23950,23350,24791,5.9,1218.0,5150000,1295.0,94.1
20250508,008490,서흥,KOSPI,,14220,-100,-0.7,14320,14500,14080,25986,3.7,1645.0,11569113,1771.0,92.9
20250508,035890,서희건설,KOSDAQ,우량기업부,1696,-15,-0.88,1711,1730,1686,363345,6.2,3898.0,229808457,4022.0,96.9
20250508,357550,석경에이티,KOSDAQ,기술성장기업부,49850,1500,3.1,48350,50400,48350,6379,3.2,2719.0,5455000,2719.0,100.0
20250508,003100,선광,KOSDAQ,우량기업부,16400,0,0.0,16400,16490,16310,5301,0.9,1082.0,6600000,1082.0,100.0
20250508,007610,선도전기,KOSPI,,3000,0,0.0,0,0,0,0,0.0,540.0,18000000,540.0,100.0
20250508,067370,선바이오,KOSDAQ,기술성장기업부,7840,60,0.77,7820,8000,7750,8005,0.6,965.0,12313555,965.0,100.0
20250508,171090,선익시스템,KOSDAQ,중견기업부,40200,400,1.01,39800,40800,39550,31619,12.7,3834.0,9537005,4397.0,87.2
20250508,136490,선진,KOSPI,,5870,-20,-0.34,5890,5940,5750,54320,3.2,1396.0,23779604,1415.0,98.7
20250508,086710,선진뷰티사이언스,KOSDAQ,우량기업부,15150,650,4.48,14380,15300,14380,437245,65.6,1849.0,12203280,1854.0,99.7
20250508,014620,성광벤드,KOSDAQ,우량기업부,28450,-150,-0.52,28800,28950,28250,274440,78.6,7946.0,27928547,8197.0,96.9
20250508,037350,성도이엔지,KOSDAQ,우량기업부,4320,25,0.58,4295,4335,4250,34099,1.5,668.0,15470000,673.0,99.3
20250508,014910,성문전자,KOSPI,,1138,0,0.0,1140,1157,1137,11651,0.1,256.0,22460985,259.0,98.8
