기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250414,16590,신대양제지,KOSPI,,7280,100,1.39,7190,7500,7110,36325,2.7,2934,40297820,2934,100,0%
20250414,102280,쌍방울,KOSPI,,13450,0,0,0,0,0,0,0,706,5251842,706,100,0%
20250414,96610,알에프세미,KOSDAQ,투자주의환기종목(소속부없음),2965,0,0,0,0,0,0,0,516,17386411,516,100,0%
20250414,148250,알엔투테크놀로지,KOSDAQ,벤처기업부,8180,80,0.99,8270,8270,7870,79123,6.4,773,9446672,773,100,1%
20250414,460870,에스엠씨지,KOSDAQ,벤처기업부,4700,15,0.32,4525,4760,4470,2735627,126.6,865,18403305,865,100,15%
20250414,163280,에어레인,KOSDAQ,기술성장기업부,22950,400,1.77,22400,23300,22000,2579466,585,1876,8174789,1876,100,31%
20250414,140910,에이리츠,KOSPI,,3130,0,0,0,0,0,0,0,140,4463032,140,100,0%
20250414,298380,에이비엘바이오,KOSDAQ,기술성장기업부,62200,6000,10.68,57500,63900,56200,3739323,2284.9,30184,48528007,30184,100,8%
20250414,36170,에이치엠넥스,KOSDAQ,중견기업부,942,0,0,945,960,916,109779,1,578,61365626,578,100,0%
20250414,69920,엑시온그룹,KOSDAQ,중견기업부,2305,165,7.71,2040,2490,2010,3613271,83.8,811,35194116,811,100,10%
20250414,484870,엠앤씨솔루션,KOSPI,,88000,0,0,89600,89800,86100,38372,33.7,8055,9153900,8055,100,0%
20250414,192410,오늘이엔엠,KOSDAQ,중견기업부,1112,256,29.91,856,1112,856,10443853,109.8,158,14235530,158,100,69%
20250414,101970,우양에이치씨,KOSDAQ,중견기업부,23150,1000,4.51,22150,23700,21500,388564,88.5,3368,14547709,3368,100,3%
20250414,10600,웰바이오텍,KOSPI,,545,0,0,0,0,0,0,0,496,90923407,496,100,0%
20250414,377460,위니아에이드,KOSDAQ,투자주의환기종목(소속부없음),1691,0,0,0,0,0,0,0,260,15393405,260,100,0%
20250414,84440,유비온,KOSDAQ,기술성장기업부,1279,82,6.85,1216,1288,1185,317534,4,252,19712800,252,100,2%
20250414,239340,이스트에이드,KOSDAQ,중견기업부,2960,680,29.82,2960,2960,2960,1203375,35.6,799,26979634,799,100,4%
20250414,93230,이아이디,KOSPI,,1392,0,0,0,0,0,0,0,3541,254384360,3541,100,0%
20250414,96040,이트론,KOSDAQ,투자주의환기종목(소속부없음),271,0,0,0,0,0,0,0,2456,906131295,2456,100,0%
20250414,211050,인카금융서비스,KOSDAQ,기술성장기업부,7410,320,4.51,7210,7520,7210,376080,27.8,3807,51379800,3807,100,1%
20250414,119610,인터로조,KOSDAQ,중견기업부,24900,0,0,0,0,0,0,0,3291,13216478,3291,100,0%
20250414,129260,인터지스,KOSPI,,2965,5,0.17,2985,3010,2870,240234,7.1,882,29747874,882,100,1%
20250414,101930,인화정공,KOSDAQ,중견기업부,38900,2000,5.42,38000,39200,35600,40030,15.2,3741,9615733,3741,100,0%
20250414,950,전방,KOSPI,,21400,450,2.15,21500,21500,20950,1883,0.4,360,1680000,360,100,0%
20250414,263860,지니언스,KOSDAQ,벤처기업부,14250,1130,8.61,13160,14770,12730,203955,28.5,1294,9079600,1294,100,2%
20250414,358570,지아이이노베이션,KOSDAQ,기술성장기업부,15230,1220,8.71,14030,15550,13880,1538398,232,8531,56012976,8531,100,3%
20250414,119850,지엔씨에너지,KOSDAQ,우량기업부,18580,1630,9.62,17120,18700,16830,1051904,190.4,3056,16448909,3056,100,6%
20250414,12600,청호ICT,KOSPI,,2490,0,0,0,0,0,0,0,1161,46634517,1161,100,0%
20250414,6380,카프로,KOSPI,,3660,0,0,0,0,0,0,0,6185,168999996,6185,100,0%
20250414,900310,컬러레이,KOSDAQ,외국기업(소속부없음),927,29,3.23,896,930,858,439200,4,594,64041675,594,100,1%
20250414,41960,코미팜,KOSDAQ,벤처기업부,4765,125,2.69,4610,4765,4565,152047,7.1,3365,70622233,3365,100,0%
20250414,294570,쿠콘,KOSDAQ,벤처기업부,25500,1000,4.08,23900,27200,23050,736144,189,2615,10254685,2615,100,7%
20250414,355390,크라우드웍스,KOSDAQ,기술성장기업부,15680,330,2.15,15000,18030,14350,4317294,712.9,1401,8937936,1401,100,51%
20250414,81150,티플랙스,KOSDAQ,우량기업부,3315,170,5.41,3300,3400,3265,3490373,116,804,24268402,804,100,14%
20250414,214450,파마리서치,KOSDAQ GLOBAL,우량기업부,366000,0,0,369500,371000,361000,48582,177.4,38465,10509600,38465,100,0%
20250414,54300,팬스타엔터프라이즈,KOSDAQ,벤처기업부,687,158,29.87,620,687,586,20848243,137.8,460,67006296,460,100,30%
20250414,87010,펩트론,KOSDAQ,기술성장기업부,168300,3600,2.19,170500,172100,163200,553335,928.6,39209,23297350,39209,100,2%
20250414,90080,평화산업,KOSPI,,1950,450,30,1459,1950,1381,26260840,468.6,1071,54902259,1071,100,44%
20250414,41590,플래스크,KOSDAQ,중견기업부,789,0,0,0,0,0,0,0,1159,146916475,1159,100,0%
20250414,17960,한국카본,KOSPI,,19220,170,0.89,19430,19510,18800,870332,166.8,9977,51908452,9977,100,2%
20250414,10420,한솔PNS,KOSPI,,1889,2,0.11,1887,1889,1887,233253,4.4,387,20493012,387,100,1%
20250414,3480,한진중공업홀딩스,KOSPI,,3855,30,0.78,3830,3895,3790,43416,1.7,1138,29529812,1138,100,0%
20250414,5110,한창,KOSPI,,1254,0,0,0,0,0,0,0,233,18606407,233,100,0%
20250414,98070,한텍,KOSDAQ,중견기업부,44900,2800,6.65,42850,44900,41500,3644044,1571.9,4993,11121141,4993,100,31%
20250414,12450,한화에어로스페이스,KOSPI,,792000,13000,1.67,798000,804000,780000,270675,2142.8,361003,45581161,361003,100,1%
20250414,720,현대건설,KOSPI,,38600,400,1.05,37900,38700,37450,754754,288.8,42983,111355765,42983,100,1%
20250414,16790,현대사료,KOSDAQ,중견기업부,994,0,0,0,0,0,0,0,1873,188471729,1873,100,0%
20250414,17800,현대엘리베이,KOSPI,,65600,2800,4.46,62800,66900,62100,510291,334.8,25645,39092385,25645,100,1%
20250414,10660,화천기계,KOSPI,,3925,225,6.08,3760,4080,3735,2721725,107,864,22000000,864,100,12%
20250414,2030,아세아,KOSPI,,280000,0,0,280000,281000,274500,1390,3.9,5836,2084140,5839,99.9,0%
20250414,15360,INVENI,KOSPI,,46800,300,0.65,47000,47300,46500,4056,1.9,2808,6000000,2817,99.7,0%
20250414,313760,캐리,KOSDAQ,투자주의환기종목(소속부없음),6930,260,3.9,6960,7000,6390,132432,9,706,10182927,708,99.7,1%
20250414,99430,바이오플러스,KOSDAQ,중견기업부,8020,-30,-0.37,8230,8230,7800,975081,77.7,4823,60132678,4841,99.6,2%
20250414,25980,아난티,KOSDAQ,우량기업부,6500,10,0.15,6500,6640,6370,893495,58,5761,88629478,5782,99.6,1%
20250414,69460,대호에이엘,KOSPI,,1746,1,0.06,1750,1775,1641,1547154,26.7,1184,67809102,1190,99.5,2%
20250414,97780,에코볼트,KOSDAQ,중견기업부,1083,0,0,1086,1088,1070,142619,1.5,734,67730338,738,99.5,0%
20250414,36560,KZ정밀,KOSDAQ,우량기업부,11530,-70,-0.6,11440,11570,11380,22053,2.5,1816,15750000,1827,99.4,0%
20250414,419530,SAMG엔터,KOSDAQ,기술성장기업부,35150,-300,-0.85,35450,35700,33000,427942,147.8,3083,8770930,3109,99.2,5%
20250414,3230,삼양식품,KOSPI,,920000,17000,1.88,903000,922000,890000,45104,411.1,69304,7533015,69831,99.2,1%
20250414,65710,서호전기,KOSDAQ,우량기업부,23850,550,2.36,23700,23950,23400,10273,2.4,1228,5150000,1239,99.1,0%
20250414,79940,가비아,KOSDAQ,우량기업부,20300,150,0.74,20650,21000,20050,68525,14.1,2748,13535684,2775,99,1%
20250414,3460,유화증권,KOSPI,,2310,-5,-0.22,2315,2315,2300,67971,1.6,1310,56702415,1324,98.9,0%
20250414,35200,프럼파스트,KOSDAQ,벤처기업부,7190,-90,-1.24,7230,7370,6860,565240,40.3,700,9730590,708,98.9,6%
20250414,48430,유라테크,KOSDAQ,우량기업부,17000,230,1.37,16770,17140,15680,446154,73.9,1958,11520000,1981,98.8,4%
20250414,100840,SNT에너지,KOSPI,,36500,2700,7.99,34250,36650,33100,273013,96.4,7548,20680783,7652,98.6,1%
20250414,3650,미창석유,KOSPI,,106500,-1500,-1.39,108000,108000,103500,1066,1.1,1853,1739672,1879,98.6,0%
20250414,66430,와이오엠,KOSDAQ,중견기업부,1286,176,15.86,1121,1294,1121,782608,9.6,504,39153476,511,98.6,2%
20250414,353810,이지바이오,KOSDAQ,우량기업부,5350,100,1.9,5220,5450,5170,296789,15.9,1770,33081920,1795,98.6,1%
20250414,320,노루홀딩스,KOSPI,,14160,310,2.24,13930,14250,13750,19821,2.8,1882,13291151,1910,98.5,0%
20250414,950110,SBI핀테크솔루션즈,KOSDAQ,외국기업(소속부없음),4895,0,0,4895,4910,4890,4923,0.2,1177,24052540,1198,98.2,0%
20250414,251970,펌텍코리아,KOSDAQ,우량기업부,53200,-600,-1.12,54800,57500,52000,91412,49,6597,12400000,6721,98.2,1%
20250414,259960,크래프톤,KOSPI,,375500,-1500,-0.4,376500,384000,374500,106798,404.1,179906,47911049,183486,98,0%
20250414,115180,큐리언트,KOSDAQ,벤처기업부,9050,750,9.04,8390,9140,8280,351119,30.7,2923,32296790,2987,97.9,1%
20250414,136410,아셈스,KOSDAQ,벤처기업부,8580,-200,-2.28,8780,8780,8420,53150,4.5,945,11019106,967,97.7,0%
20250414,39020,이건홀딩스,KOSDAQ,중견기업부,4280,-20,-0.47,4335,4435,4250,330042,14.3,967,22584709,990,97.7,1%
20250414,53350,이니텍,KOSDAQ,중견기업부,9740,400,4.28,9450,9900,9200,164516,15.8,1928,19790916,1973,97.7,1%
20250414,92130,이크레더블,KOSDAQ,중견기업부,14160,150,1.07,14100,14200,14050,5788,0.8,1705,12043600,1746,97.7,0%
20250414,35890,서희건설,KOSDAQ,우량기업부,1620,35,2.21,1580,1620,1555,247068,3.9,3723,229808457,3815,97.6,0%
20250414,43910,자연과환경,KOSDAQ,벤처기업부,934,-23,-2.4,958,995,934,14768094,142.7,1059,113391457,1085,97.6,13%
20250414,44820,코스맥스비티아이,KOSPI,,10390,-110,-1.05,10550,10560,10390,6103,0.6,998,9603921,1023,97.6,0%
20250414,451800,한화리츠,KOSPI,,3810,15,0.4,3795,3815,3780,132611,5,6843,179600000,7013,97.6,0%
20250414,7390,네이처셀,KOSDAQ,중견기업부,31400,-850,-2.64,31900,32100,30900,1220201,383.1,20208,64357156,20755,97.4,2%
20250414,139480,이마트,KOSPI,,86100,-300,-0.35,86100,87000,84700,114390,98.4,24001,27875819,24642,97.4,0%
20250414,50120,ES큐브,KOSDAQ,중견기업부,2610,-20,-0.76,2630,2660,2565,3423,0.1,354,13564086,364,97.3,0%
20250414,50760,에스폴리텍,KOSDAQ,중견기업부,1770,51,2.97,1705,1785,1705,85162,1.5,289,16334678,297,97.3,1%
20250414,350520,이지스레지던스리츠,KOSPI,,4040,-20,-0.49,4060,4095,4035,38109,1.5,1489,36866202,1530,97.3,0%
20250414,65660,안트로젠,KOSDAQ,기술성장기업부,21500,0,0,21500,22000,21300,18340,4,2151,10006100,2214,97.2,0%
20250414,39010,현대에이치티,KOSDAQ,우량기업부,6850,210,3.16,6660,6930,6660,23771,1.6,591,8625000,608,97.2,0%
20250414,27830,대성창투,KOSDAQ,중견기업부,2655,-25,-0.93,2790,2860,2540,18030071,487.7,1434,54000000,1477,97.1,34%
20250414,52330,코텍,KOSDAQ,우량기업부,9020,0,0,9070,9070,8990,9806,0.9,1491,16527174,1535,97.1,0%
20250414,3310,대주산업,KOSDAQ,우량기업부,2740,-30,-1.08,2750,2800,2605,2894068,78.7,970,35392350,1000,97,8%
20250414,133750,메가엠디,KOSDAQ,중견기업부,2720,-85,-3.03,2800,2810,2600,836814,22.9,637,23407077,657,97,4%
20250414,10280,아이티센엔텍,KOSDAQ,중견기업부,795,46,6.14,753,815,753,464315,3.6,518,65123786,534,97,1%
20250414,322180,LS티라유텍,KOSDAQ,벤처기업부,5320,220,4.31,5220,5390,5090,62189,3.3,1113,20921984,1149,96.9,0%
