기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,ㄴ
20250507,89030,테크윙,KOSDAQ,중견기업부,35150,750,2.18,34900,35650,34200,293232,102.4,13130,37353645,14848,88.4,1%
20250507,214370,케어젠,KOSDAQ,벤처기업부,23400,-300,-1.27,24700,24700,22750,81584,18.8,12569,53715000,14503,86.7,0%
20250507,73240,금호타이어,KOSPI,,4835,150,3.2,4730,4875,4715,494376,23.9,13889,287260287,14420,96.3,0%
20250507,103590,일진전기,KOSPI,,26950,550,2.08,26750,27300,26050,457409,122.1,12851,47685390,14306,89.8,1%
20250507,7340,DN오토모티브,KOSPI,,20450,50,0.25,20400,20800,19950,140040,28.3,11965,58510865,14130,84.7,0%
20250507,96530,씨젠,KOSDAQ,우량기업부,26300,-250,-0.94,26800,26800,26000,134839,35.5,13735,52225994,14075,97.6,0%
20250507,395400,SK리츠,KOSPI,,4955,-45,-0.9,5030,5040,4937,193735,9.6,13685,276188774,13977,97.9,0%
20250507,20150,롯데에너지머티리얼즈,KOSPI,,22200,-450,-1.99,22800,22950,22050,98676,22.1,11625,52365463,13877,83.8,0%
20250507,80,하이트진로,KOSPI,,19310,0,0,19340,19440,19280,95427,18.4,13543,70133611,13865,97.7,0%
20250507,195940,HK이노엔,KOSDAQ GLOBAL,우량기업부,41200,1050,2.62,40000,42450,39350,790350,323.6,11672,28329891,13853,84.3,3%
20250507,18290,브이티,KOSDAQ,우량기업부,37800,-550,-1.43,37700,38400,36900,396578,148.5,13532,35798007,13818,97.9,1%
20250507,35760,CJ ENM,KOSDAQ GLOBAL,중견기업부,60600,-1900,-3.04,62000,62100,59600,72711,44,13289,21929154,13706,97,0%
20250507,69960,현대백화점,KOSPI,,59100,-300,-0.51,60200,60700,58600,37190,22.2,13374,22628813,13668,97.8,0%
20250507,95340,ISC,KOSDAQ,우량기업부,52400,600,1.16,52900,52900,51700,105174,55.2,11107,21197058,13609,81.6,0%
20250507,267270,HD현대건설기계,KOSPI,,69700,600,0.87,68200,69900,67000,78109,53.9,12346,17713586,13546,91.1,0%
20250507,9970,영원무역홀딩스,KOSPI,,97200,1700,1.78,98900,98900,94500,15838,15.4,13254,13635592,13349,99.3,0%
20250507,11210,현대위아,KOSPI,,42550,100,0.24,43050,43250,42000,62422,26.5,11572,27195083,13271,87.2,0%
20250507,240810,원익IPS,KOSDAQ GLOBAL,우량기업부,22900,200,0.88,22900,23350,22750,189365,43.5,11240,49083901,13081,85.9,0%
20250507,293490,카카오게임즈,KOSDAQ GLOBAL,중견기업부,14360,180,1.27,14500,14500,14000,113661,16.3,11900,82866437,13043,91.2,0%
20250507,86900,메디톡스,KOSDAQ,우량기업부,173700,-1800,-1.03,178000,178000,168400,61857,106.6,12677,7298497,12911,98.2,1%
20250507,178320,서진시스템,KOSDAQ,벤처기업부,21400,800,3.88,21100,21950,20750,314056,67.3,12037,56247954,12881,93.4,1%
20250507,39200,오스코텍,KOSDAQ,벤처기업부,26500,-850,-3.11,28050,28050,25900,224960,59.5,10136,38248176,12813,79.1,1%
20250507,71970,HD현대마린엔진,KOSPI,,37600,-50,-0.13,38350,38800,37350,385668,146.5,12754,33921495,12788,99.7,1%
20250507,122870,와이지엔터테인먼트,KOSDAQ GLOBAL,우량기업부,68000,300,0.44,67500,68400,66500,142839,96.3,12710,18691049,12710,100,1%
20250507,7070,GS리테일,KOSPI,,14810,180,1.23,14760,14960,14580,233887,34.7,12382,83607415,12658,97.8,0%
20250507,137310,에스디바이오센서,KOSPI,,9420,-70,-0.74,9590,9710,9380,61521,5.8,11469,121749102,12647,90.7,0%
20250507,300720,한일시멘트,KOSPI,,17700,-390,-2.16,18250,18340,17540,156166,28.1,12259,69261540,12640,97,0%
20250507,53800,안랩,KOSDAQ,우량기업부,66600,-100,-0.15,67300,68500,65900,119814,80,7410,11126506,12462,59.5,1%
20250507,192080,더블유게임즈,KOSPI,,56000,-500,-0.88,56600,56900,54700,99899,55.8,12038,21495906,12167,98.9,0%
20250507,140410,메지온,KOSDAQ,중견기업부,38000,-1150,-2.94,39200,39200,37850,93912,35.9,11403,30007340,12123,94.1,0%
20250507,3090,대웅,KOSPI,,19260,-1090,-5.36,20500,20500,18970,71894,13.8,11198,58141980,11890,94.2,0%
20250507,9450,경동나비엔,KOSPI,,76200,-100,-0.13,77100,77200,75300,38542,29.4,11101,14568592,11859,93.6,0%
20250507,1800,오리온홀딩스,KOSPI,,18820,280,1.51,18880,18890,18290,165659,31,11790,62645422,11790,100,0%
20250507,12630,HDC,KOSPI,,19600,410,2.14,19190,19610,19020,175680,34.2,11709,59741721,11709,100,0%
20250507,280360,롯데웰푸드,KOSPI,,116800,-800,-0.68,119000,119300,116400,18352,21.5,11020,9434574,11680,94.3,0%
20250507,3570,SNT다이내믹스,KOSPI,,34350,800,2.38,34000,34600,33700,82478,28.2,11422,33252697,11622,98.3,0%
20250507,67630,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),6630,150,2.31,6480,6690,6390,385731,25.3,8082,121896409,11543,70,0%
20250507,34230,파라다이스,KOSPI,,12380,20,0.16,12200,12400,12040,192638,23.7,11361,91771623,11361,100,0%
20250507,376300,디어유,KOSDAQ,우량기업부,47700,400,0.85,47250,49150,46100,266668,126.9,11323,23738406,11323,100,1%
20250507,185750,종근당,KOSPI,,78900,-2500,-3.07,82200,82300,78800,30984,24.5,10890,13802780,11304,96.3,0%
20250507,160190,하이젠알앤엠,KOSDAQ,중견기업부,33650,2300,7.34,31900,33850,31550,156376,51.8,10394,30888000,11243,92.4,0%
20250507,98460,고영,KOSDAQ,우량기업부,14310,-80,-0.56,14670,14710,14130,1600973,229,9824,68654755,11108,88.4,2%
20250507,229640,LS에코에너지,KOSPI,,32750,500,1.55,31900,32950,31500,110761,35.8,10030,30624879,10964,91.5,0%
20250507,137400,피엔티,KOSDAQ GLOBAL,우량기업부,40200,-350,-0.86,41250,41250,39950,75202,30.3,9545,23743086,10874,87.8,0%
20250507,89860,롯데렌탈,KOSPI,,29750,300,1.02,29350,29850,29350,29344,8.7,10802,36309388,10802,100,0%
20250507,3030,세아제강지주,KOSPI,,221500,-11000,-4.73,235000,235000,213500,24985,54.8,9174,4141657,10789,85,1%
20250507,64760,티씨케이,KOSDAQ GLOBAL,우량기업부,88100,3300,3.89,85600,89000,85300,41017,35.9,10286,11675000,10741,95.8,0%
20250507,14820,동원시스템즈,KOSPI,,32450,-600,-1.82,33350,33350,32000,17056,5.6,9408,28991282,10741,87.6,0%
20250507,365550,ESR켄달스퀘어리츠,KOSPI,,4790,-80,-1.64,4890,4890,4770,146653,7,10207,213089000,10740,95,0%
20250507,232140,와이씨,KOSDAQ,우량기업부,10040,210,2.14,9980,10110,9910,243712,24.4,8237,82045350,10674,77.2,0%
20250507,281740,레이크머티리얼즈,KOSDAQ,우량기업부,12840,10,0.08,12850,12990,12450,164700,21,8440,65730548,10655,79.2,0%
20250507,388720,유일로보틱스,KOSDAQ,벤처기업부,71700,1600,2.28,70500,72500,70400,83378,59.8,8233,11483026,10633,77.4,1%
20250507,4000,롯데정밀화학,KOSPI,,35500,550,1.57,35300,36150,34850,83660,29.8,9159,25800000,10617,86.3,0%
20250507,112040,위메이드,KOSDAQ,중견기업부,25350,1700,7.19,24550,25550,24250,391663,97.7,8606,33948483,10575,81.4,1%
