기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250411,079940,가비아,KOSDAQ,우량기업부,20150,1180,6.22,18960,20400,18610,260776,51.1,2727.0,13535684,2775.0,98.3
20250411,078890,가온그룹,KOSDAQ,중견기업부,2815,70,2.55,2765,2840,2715,14184,0.4,495.0,17595777,1116.0,44.4
20250411,000500,가온전선,KOSPI,,39650,1100,2.85,38800,39800,36900,42124,16.4,6559.0,16543115,9479.0,69.2
20250411,399720,가온칩스,KOSDAQ,벤처기업부,37350,-50,-0.13,36300,37700,36300,44486,16.5,4332.0,11597320,12660.0,34.2
20250411,036620,감성코퍼레이션,KOSDAQ,우량기업부,3725,10,0.27,3715,3760,3665,427778,15.9,3461.0,92906558,4170.0,83.0
20250411,000860,강남제비스코,KOSPI,,23450,1000,4.45,22500,23450,22000,14728,3.3,1524.0,6500000,1937.0,78.7
20250411,198440,강동씨앤엘,KOSDAQ,중견기업부,1138,-9,-0.78,1150,1152,1113,452114,5.1,693.0,60931896,1350.0,51.3
20250411,217730,강스템바이오텍,KOSDAQ,기술성장기업부,2200,50,2.33,2085,2200,2085,299177,6.5,1233.0,56054149,2003.0,61.6
20250411,035250,강원랜드,KOSPI,,15260,80,0.53,15030,15270,14990,323205,49.0,32647.0,213940500,39365.0,82.9
20250411,114190,강원에너지,KOSDAQ,우량기업부,6650,290,4.56,6250,6660,6160,71914,4.7,1737.0,26123038,5656.0,30.7
20250411,094480,갤럭시아머니트리,KOSDAQ,중견기업부,8320,0,0.0,8340,8500,8190,692506,57.8,3264.0,39229838,3915.0,83.4
20250411,011420,갤럭시아에스엠,KOSPI,,2180,20,0.93,2135,2195,2115,1110665,24.0,601.0,27549644,822.0,73.1
20250411,039240,경남스틸,KOSDAQ,우량기업부,6900,-830,-10.74,7800,7990,6875,6441842,471.6,1862.0,26979604,2191.0,85.0
20250411,053950,경남제약,KOSDAQ,중견기업부,642,7,1.1,634,652,599,510755,3.3,502.0,78147358,691.0,72.6
20250411,002100,경농,KOSPI,,8790,50,0.57,8580,8800,8580,17688,1.5,1716.0,19522575,2099.0,81.8
20250411,009450,경동나비엔,KOSPI,,70400,-100,-0.14,69600,70500,68400,38068,26.5,10256.0,14568592,15370.0,66.7
20250411,267290,경동도시가스,KOSPI,,17190,-30,-0.17,17010,17220,17010,3605,0.6,1013.0,5895406,1303.0,77.7
20250411,012320,경동인베스트,KOSPI,,57100,300,0.53,55100,57400,55100,4126,2.3,1350.0,2365023,2278.0,59.3
20250411,011040,경동제약,KOSDAQ,중견기업부,5560,40,0.72,5510,5610,5490,22005,1.2,1711.0,30768766,2154.0,79.4
20250411,000050,경방,KOSPI,,6620,100,1.53,6470,6620,6470,4368,0.3,1815.0,27415270,2232.0,81.3
20250411,214390,경보제약,KOSPI,,5380,0,0.0,5380,5380,5250,14485,0.8,1286.0,23906860,1779.0,72.3
20250411,012610,경인양행,KOSPI,,3070,85,2.85,2990,3090,2960,231972,7.1,1278.0,41616365,1475.0,86.6
20250411,009140,경인전자,KOSPI,,19280,180,0.94,19100,19290,18970,2644,0.5,303.0,1570797,470.0,64.5
20250411,024910,경창산업,KOSDAQ,우량기업부,1705,50,3.02,1655,1706,1635,243389,4.1,611.0,35819005,1148.0,53.2
20250411,013580,계룡건설,KOSPI,,22350,-1600,-6.68,23600,23750,21500,1042352,232.5,1996.0,8930907,2139.0,93.3
20250411,012200,계양전기,KOSPI,,1400,37,2.71,1359,1400,1345,51647,0.7,381.0,27222829,696.0,54.7
20250411,002140,고려산업,KOSPI,,2815,0,0.0,2815,2820,2770,146211,4.1,702.0,24939425,938.0,74.8
20250411,049720,고려신용정보,KOSDAQ,우량기업부,9430,-100,-1.05,9420,10360,9380,605362,59.7,1348.0,14300000,1630.0,82.7
20250411,010130,고려아연,KOSPI,,683000,-17000,-2.43,687000,687000,663000,16425,111.3,141403.0,20703283,414066.0,34.1
20250411,002240,고려제강,KOSPI,,16730,-210,-1.24,16940,16980,16650,2538,0.4,4517.0,27000000,6488.0,69.6
20250411,014570,고려제약,KOSDAQ,우량기업부,4745,50,1.06,4690,4745,4640,14008,0.7,522.0,11000000,737.0,70.8
20250411,348150,고바이오랩,KOSDAQ,기술성장기업부,5420,-40,-0.73,5660,5810,5410,461407,25.9,1053.0,19418889,1620.0,65.0
20250411,950190,고스트스튜디오,KOSDAQ,외국기업(소속부없음),7230,340,4.93,6890,7490,6800,33394,2.4,982.0,13579892,1488.0,66.0
20250411,098460,고영,KOSDAQ,우량기업부,13450,640,5.0,12660,13520,12540,1467040,195.1,9234.0,68654755,15173.0,60.9
20250411,035290,골드앤에스,KOSDAQ,중견기업부,408,-28,-6.42,425,427,396,530660,2.2,195.0,47676480,325.0,60.0
20250411,215000,골프존,KOSDAQ GLOBAL,우량기업부,64200,-800,-1.23,63300,64700,62600,28180,18.0,4029.0,6275415,5271.0,76.4
20250411,121440,골프존뉴딘홀딩스,KOSDAQ,우량기업부,4520,185,4.27,4290,4530,4290,187925,8.4,1936.0,42836818,1936.0,100.0
20250411,366030,공구우먼,KOSDAQ,중견기업부,4130,150,3.77,3890,4245,3890,89457,3.7,936.0,22653850,1561.0,60.0
20250411,009290,광동제약,KOSPI,,5260,60,1.15,5230,5270,5170,29172,1.5,2757.0,52420851,3669.0,75.1
20250411,017040,광명전기,KOSPI,,1347,18,1.35,1315,1348,1300,92296,1.2,584.0,43337615,1380.0,42.3
20250411,029480,광무,KOSDAQ,중견기업부,2355,175,8.03,2125,2395,2120,372740,8.5,1296.0,55028621,3262.0,39.7
20250411,017900,광전자,KOSPI,,1738,17,0.99,1730,1738,1706,15467,0.3,1007.0,57943763,1353.0,74.4
20250411,037710,광주신세계,KOSPI,,26700,150,0.56,26500,26800,26250,8968,2.4,2125.0,7957190,2514.0,84.5
20250411,026910,광진실업,KOSDAQ,중견기업부,2105,-45,-2.09,2150,2150,2100,13993,0.3,135.0,6405405,214.0,63.1
20250411,030610,교보증권,KOSPI,,5780,40,0.7,5680,5780,5660,48245,2.8,6587.0,113962961,7784.0,84.6
20250411,339770,교촌에프앤비,KOSPI,,5860,20,0.34,5750,5890,5750,57725,3.4,2928.0,49965080,3003.0,97.5
20250411,053270,구영테크,KOSDAQ,우량기업부,2285,0,0.0,2285,2315,2255,87837,2.0,626.0,27410405,772.0,81.1
20250411,007690,국도화학,KOSPI,,29350,-50,-0.17,29400,29400,28350,5413,1.6,2718.0,9260832,3730.0,72.9
20250411,001140,국보,KOSPI,,2110,0,0.0,0,0,0,0,0.0,335.0,15856388,335.0,100.0
20250411,066620,국보디자인,KOSDAQ,우량기업부,16730,140,0.84,16400,16830,15740,5514,0.9,1255.0,7500000,1400.0,89.6
20250411,043650,국순당,KOSDAQ,우량기업부,4250,-40,-0.93,4240,4305,4160,43445,1.8,759.0,17858304,1305.0,58.2
20250411,006050,국영지앤엠,KOSDAQ,중견기업부,1398,-110,-7.29,1508,1546,1380,1883673,27.4,488.0,34895243,829.0,58.9
20250411,060480,국일신동,KOSDAQ,중견기업부,1635,35,2.19,1631,1648,1618,9307,0.2,181.0,11090000,366.0,49.5
20250411,307750,국전약품,KOSDAQ,우량기업부,3065,90,3.03,2955,3065,2915,35425,1.1,1531.0,49966130,2875.0,53.3
20250411,002720,국제약품,KOSPI,,4650,-15,-0.32,4675,4710,4630,246944,11.5,984.0,21159832,1583.0,62.2
20250411,035080,그래디언트,KOSDAQ,우량기업부,13220,130,0.99,13140,13220,12800,36275,4.7,1808.0,13676598,2409.0,75.1
20250411,453450,그리드위즈,KOSDAQ,벤처기업부,16650,850,5.38,18090,18100,16470,466342,80.1,1322.0,7942750,4297.0,30.8
20250411,204020,그리티,KOSDAQ,벤처기업부,2665,35,1.33,2625,2695,2600,19199,0.5,537.0,20147430,661.0,81.2
20250411,402490,그린리소스,KOSDAQ,기술성장기업부,13180,10,0.08,12880,13190,12880,38444,5.0,1089.0,8265944,2562.0,42.5
20250411,114450,그린생명과학,KOSDAQ,중견기업부,1599,54,3.5,1580,1599,1536,13531,0.2,320.0,20000000,834.0,38.4
20250411,083420,그린케미칼,KOSPI,,8050,510,6.76,8270,8530,7810,3671944,300.3,1932.0,24000000,2074.0,93.2
20250411,186230,그린플러스,KOSDAQ,벤처기업부,7340,250,3.53,7080,7340,6980,45435,3.3,802.0,10920188,1441.0,55.7
20250411,014530,극동유화,KOSPI,,3450,-20,-0.58,3460,3470,3395,102815,3.5,1203.0,34869420,1555.0,77.4
20250411,900070,글로벌에스엠,KOSDAQ,외국기업(소속부없음),401,9,2.3,392,410,392,51188,0.2,216.0,53743968,268.0,80.6
20250411,204620,글로벌텍스프리,KOSDAQ,중견기업부,5390,190,3.65,5170,5420,5130,1419491,75.8,3788.0,70283330,3969.0,95.4
20250411,019660,글로본,KOSDAQ,중견기업부,1191,19,1.62,1172,1201,1100,1164073,13.8,414.0,34790746,433.0,95.6
20250411,014280,금강공업,KOSPI,,4445,40,0.91,4385,4560,4335,1231758,54.5,1304.0,29329357,1648.0,79.1
20250411,053260,금강철강,KOSDAQ,우량기업부,3925,-20,-0.51,3890,3925,3835,6723,0.3,735.0,18720000,1080.0,68.1
20250411,008870,금비,KOSPI,,55100,700,1.29,53600,57000,53600,948,0.5,551.0,1000000,669.0,82.4
20250411,001570,금양,KOSPI,,9900,0,0.0,0,0,0,0,0.0,6333.0,63967196,60836.0,10.4
20250411,282720,금양그린파워,KOSDAQ,중견기업부,8770,-80,-0.9,8700,8900,8600,31671,2.8,1063.0,12119500,2103.0,50.5
20250411,002990,금호건설,KOSPI,,2585,20,0.78,2560,2595,2535,30578,0.8,955.0,36953595,1589.0,60.1
20250411,011780,금호석유,KOSPI,,110500,-700,-0.63,109800,110600,108100,66433,72.6,29238.0,26459587,45715.0,64.0
20250411,214330,금호에이치티,KOSPI,,601,1,0.17,600,603,593,250632,1.5,1286.0,213914131,1536.0,83.7
20250411,001210,금호전기,KOSPI,,809,-5,-0.61,808,820,790,136340,1.1,465.0,57472957,735.0,63.3
20250411,073240,금호타이어,KOSPI,,4265,-85,-1.95,4310,4335,4190,298921,12.6,12252.0,287260287,23670.0,51.8
20250411,036190,금화피에스시,KOSDAQ,우량기업부,25450,350,1.39,25000,25450,25000,2060,0.5,1527.0,6000000,1740.0,87.8
20250411,049080,기가레인,KOSDAQ,벤처기업부,495,2,0.41,488,498,485,90155,0.4,420.0,84883347,783.0,53.6
20250411,420770,기가비스,KOSDAQ,중견기업부,24050,-450,-1.84,23750,24400,23600,16141,3.9,3049.0,12675758,9950.0,30.6
20250411,035460,기산텔레콤,KOSDAQ,벤처기업부,2025,0,0.0,1971,2035,1965,84615,1.7,295.0,14577340,356.0,82.9
20250411,092440,기신정기,KOSPI,,2295,-10,-0.43,2305,2305,2215,32449,0.7,670.0,29200000,883.0,75.9
20250411,000270,기아,KOSPI,,82000,-6200,-7.03,86100,86200,81300,2232779,1848.0,326092.0,397672632,529013.0,61.6
